Test.data,Classifier,Feature.Selection,Features,Additional.Information,Discretisation.method,Discretisation.width.number,Number.of.features,AUC,fscore2,precision,recall,Features
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Empty,FBW,0.1,10,0.51,0.25,0.18,0.29,"GLDZM_DZNN_0.1, GLDZM_LDE_0.1, GLDZM_SDE_0.1, IVH_RVRI_10_0.1, IVH_RVRI_50_0.1, IVH_RVRI_60_0.1, IVH_RVRI_70_0.1, IVH_RVRI_90_0.1, Shape_elongation_0.1, Shape_volumeDensityBB_0.1"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Empty,FBW,0.05,8,0.49,0.16,0.11,0.18,"IVH_RVRI_40_0.05, IVH_RVRI_50_0.05, IVH_RVRI_60_0.05, IVH_RVRI_70_0.05, IVH_RVRI_80_0.05, IVH_RVRI_90_0.05, Shape_elongation_0.05, Shape_volumeDensityBB_0.05"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Empty,FBN,64,7,0.58,0.3,0.21,0.34,"GLDZM_DZNN_64, IVH_RVRI_10_64, IVH_RVRI_60_64, IVH_RVRI_70_64, Shape_elongation_64, Stats_cov_64, Stats_qcod_64"
Mix,RF,Backward MRMR pearson,Original Radiomics Features,Empty,FBN,32,9,0.6,0.32,0.22,0.37,"GLDZM_DZNN_32, GLDZM_SDE_32, IVH_RVRI_10_32, IVH_RVRI_60_32, IVH_RVRI_70_32, Shape_elongation_32, Shape_volumeDensityBB_32, Stats_cov_32, Stats_qcod_32"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.5,5,0.55,0.34,0.23,0.39,"IH_skewness_0.5, IVH_RVRI_50_0.5, IVH_RVRI_60_0.5, Shape_leastaxislength_0.5, Shape_volumeDensityBB_0.5"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.2,3,0.41,0.1,0.07,0.12,"IH_skewness_0.2, IVH_RVRI_50_0.2, Shape_volumeDensityBB_0.2"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.1,2,0.39,0.07,0.05,0.09,"IVH_RVRI_50_0.1, Shape_volumeDensityBB_0.1"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.05,9,0.54,0.32,0.2,0.38,"Fractal_average_0.05, GLCM_clusShade_0.05, IH_skewness_0.05, IVH_RVRI_40_0.05, IVH_RVRI_50_0.05, IVH_RVRI_60_0.05, NGTDM_strength_0.05, Shape_volumeDensityBE_0.05, Stats_skewness_0.05"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBN,64,10,0.47,0.21,0.16,0.24,"GLCM_clusShade_64, IH_minGradI_64, IH_skewness_64, IVH_RVRI_40_64, IVH_RVRI_50_64, Shape_elongation_64, Shape_flatness_64, Shape_volumeDensityBB_64, Stats_medianD_64, Stats_skewness_64"
Mix,RF,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBN,32,10,0.41,0.22,0.12,0.29,"IH_skewness_32, NGTDM_strength_32, Shape_areaDensityBB_32, Shape_flatness_32, Shape_leastaxislength_32, Shape_maxDiameter2D2_32, Shape_minoraxislength_32, Shape_volumeDensityBB_32, Shape_volumeDensityBE_32, Stats_skewness_32"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Empty,FBW,0.5,7,0.33,0.21,0.11,0.27,"IH_energy_0.5, GLCM_clusProm_0.5, GLCM_clusShade_0.5, GLSZM_SZV_0.5, IVH_RVRI_10_0.5, GLCM_contrast_0.5, GLSZM_LILAE_0.5"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Empty,FBW,0.2,4,0.37,0.22,0.12,0.28,"IH_energy_0.2, GLCM_clusProm_0.2, GLSZM_LILAE_0.2, GLCM_clusShade_0.2"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Empty,FBW,0.1,5,0.37,0.18,0.11,0.23,"IH_energy_0.1, GLCM_clusProm_0.1, GLSZM_LILAE_0.1, GLCM_clusShade_0.1, IVH_RVRI_10_0.1"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Empty,FBW,0.05,4,0.38,0.21,0.12,0.26,"IH_energy_0.05, GLCM_clusProm_0.05, GLRLM_LRE_0.05, GLCM_clusShade_0.05"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Empty,FBN,64,9,0.35,0.11,0.08,0.13,"IH_energy_64, IVH_RVRI_10_64, IVH_RVRI_20_64, Stats_var_64, NGTDM_contrast_64, NGTDM_busyness_64, GLSZM_LILAE_64, IH_maxGrad_64, IVH_RVRI_80_64"
Mix,RF,Forward MRMR MI,Original Radiomics Features,Empty,FBN,32,1,0.39,0.2,0.13,0.24,IH_energy_32
Mix,RF,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.5,3,0.65,0.38,0.3,0.41,"IVH_RVRI_50_0.5, GLSZM_HISAE_0.5, IVH_RVRI_90_0.5"
Mix,RF,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.2,5,0.68,0.4,0.36,0.42,"IVH_RVRI_50_0.2, GLSZM_HISAE_0.2, IVH_RVRI_90_0.2, GLSZM_LILAE_0.2, GLCM_clusShade_0.2"
Mix,RF,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.1,9,0.58,0.37,0.33,0.39,"IVH_RVRI_50_0.1, GLRLM_LRLGE_0.1, IVH_RVRI_90_0.1, GLCM_clusProm_0.1, IVH_RVRI_10_0.1, Stats_skewness_0.1, IVH_AVRI_80_0.1, IH_skewness_0.1, GLSZM_SZV_0.1"
Mix,RF,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.05,4,0.63,0.37,0.33,0.39,"IVH_RVRI_50_0.05, GLSZM_LAE_0.05, IVH_RVRI_90_0.05, GLDZM_HISDE_0.05"
Mix,RF,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Empty,FBN,64,10,0.67,0.4,0.32,0.43,"NGTDM_coarseness_64, GLCM_clusShade_64, IVH_AVRI_90_64, Stats_var_64, IH_skewness_64, IVH_RVRI_70_64, IVH_RVRI_10_64, NGTDM_busyness_64, IVH_RVRI_90_64, GLDZM_DZE_64"
Mix,RF,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Empty,FBN,32,10,0.59,0.26,0.26,0.26,"IVH_RVRI_50_32, GLCM_clusShade_32, IVH_RVRI_90_32, GLSZM_LILAE_32, Stats_skewness_32, IVH_RVRI_10_32, NGTDM_busyness_32, GLDZM_INN_32, IVH_AVRI_90_32, Stats_var_32"
Mix,RF,Embebed RF FS Accuracy decrease,Original Radiomics Features,Empty,FBW,0.5,4,0.49,0.2,0.13,0.23,"IVH_RVRI_80_0.5, IVH_RVRI_70_0.5, NGLDM_DN_0.5, IVH_RVRI_60_0.5"
Mix,RF,Embebed RF FS Accuracy decrease,Original Radiomics Features,Empty,FBW,0.2,7,0.46,0.14,0.11,0.15,"IVH_RVRI_80_0.2, IVH_RVRI_60_0.2, IVH_RVRI_70_0.2, IH_maxGrad_0.2, IVH_RVRI_40_0.2, Shape_spherDisprop_0.2, Stats_kurtosis_0.2"
Mix,RF,Embebed RF FS Accuracy decrease,Original Radiomics Features,Empty,FBW,0.1,6,0.46,0.18,0.12,0.21,"IVH_RVRI_80_0.1, IVH_RVRI_70_0.1, IVH_RVRI_50_0.1, IVH_RVRI_60_0.1, GLCM_entrop2_0.1, GLSZM_SZN_0.1"
Mix,RF,Embebed RF FS Accuracy decrease,Original Radiomics Features,Empty,FBW,0.05,4,0.51,0.22,0.14,0.26,"IVH_RVRI_80_0.05, IVH_RVRI_60_0.05, IVH_RVRI_70_0.05, GLCM_maxProb_0.05"
Mix,RF,Embebed RF FS Accuracy decrease,Original Radiomics Features,Empty,FBN,64,8,0.45,0.08,0.07,0.08,"IVH_RVRI_60_64, IVH_RVRI_80_64, NGTDM_busyness_64, IVH_RVRI_70_64, IVH_RVRI_50_64, Shape_sphericity_64, Shape_compactness3_64, IH_mean_64"
Mix,RF,Embebed RF FS Accuracy decrease,Original Radiomics Features,Empty,FBN,32,9,0.59,0.09,0.09,0.09,"IVH_RVRI_70_32, NGTDM_busyness_32, IVH_RVRI_50_32, IVH_RVRI_80_32, IVH_RVRI_60_32, GLCM_average_32, GLRLM_SRHGE_32, GLCM_sumAvg_32, Shape_areaDensityBE_32"
Mix,RF,Embebed RF FS Accuracy decrease,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.5,2,0.69,0.37,0.3,0.4,"IVH_RVRI_90_0.5, IVH_RVRI_70_0.5"
Mix,RF,Embebed RF FS Accuracy decrease,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.2,10,0.69,0.31,0.36,0.31,"IVH_RVRI_50_0.2, IVH_RVRI_60_0.2, IH_skewness_0.2, GLCM_clusShade_0.2, IVH_RVRI_90_0.2, IVH_AVRI_90_0.2, IVH_RVRI_40_0.2, IVH_RVRI_70_0.2, Shape_areaDensityBB_0.2, Shape_centroidDistance_0.2"
Mix,RF,Embebed RF FS Accuracy decrease,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.1,6,0.75,0.39,0.36,0.41,"IVH_RVRI_90_0.1, IVH_AVRI_90_0.1, IVH_RVRI_50_0.1, IVH_RVRI_60_0.1, IVH_TLGRI_90_0.1, GLCM_clusShade_0.1"
Mix,RF,Embebed RF FS Accuracy decrease,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.05,4,0.74,0.42,0.4,0.43,"GLCM_clusShade_0.05, IVH_RVRI_90_0.05, IVH_RVRI_50_0.05, IVH_AVRI_90_0.05"
Mix,RF,Embebed RF FS Accuracy decrease,Tumor to Liver ratio Radiomics Features,Empty,FBN,64,5,0.65,0.33,0.29,0.35,"NGLDM_HGSDE_64, IVH_RVRI_90_64, IVH_RVRI_50_64, IVH_RVRI_70_64, GLSZM_HISAE_64"
Mix,RF,Embebed RF FS Accuracy decrease,Tumor to Liver ratio Radiomics Features,Empty,FBN,32,5,0.61,0.31,0.33,0.31,"NGLDM_HGSDE_32, GLSZM_HISAE_32, IVH_RVRI_50_32, GLDZM_HIE_32, IVH_RVRI_90_32"
Mix,RF,Embebed RF FS Gini Impurity,Original Radiomics Features,Empty,FBW,0.5,5,0.44,0.18,0.12,0.21,"IVH_RVRI_70_0.5, IVH_RVRI_80_0.5, IVH_RVRI_60_0.5, NGLDM_DN_0.5, GLCM_clusShade_0.5"
Mix,RF,Embebed RF FS Gini Impurity,Original Radiomics Features,Empty,FBW,0.2,10,0.45,0.21,0.14,0.24,"IVH_RVRI_80_0.2, IVH_RVRI_70_0.2, IVH_RVRI_60_0.2, IVH_RVRI_50_0.2, IVH_RVRI_40_0.2, GLCM_energy_0.2, NGLDM_DN_0.2, GLCM_clusShade_0.2, GLSZM_SZN_0.2, Shape_centroidDistance_0.2"
Mix,RF,Embebed RF FS Gini Impurity,Original Radiomics Features,Empty,FBW,0.1,9,0.6,0.34,0.24,0.39,"IVH_RVRI_80_0.1, IVH_RVRI_70_0.1, IVH_RVRI_60_0.1, IVH_RVRI_50_0.1, Shape_areaDensityBE_0.1, Stats_cov_0.1, GLCM_entrop2_0.1, Stats_qcod_0.1, Shape_centroidDistance_0.1"
Mix,RF,Embebed RF FS Gini Impurity,Original Radiomics Features,Empty,FBW,0.05,4,0.51,0.22,0.14,0.26,"IVH_RVRI_60_0.05, IVH_RVRI_70_0.05, IVH_RVRI_80_0.05, GLCM_maxProb_0.05"
Mix,RF,Embebed RF FS Gini Impurity,Original Radiomics Features,Empty,FBN,64,3,0.61,0.25,0.2,0.27,"IVH_RVRI_60_64, IVH_RVRI_80_64, NGTDM_busyness_64"
Mix,RF,Embebed RF FS Gini Impurity,Original Radiomics Features,Empty,FBN,32,5,0.56,0.26,0.21,0.28,"IVH_RVRI_70_32, IVH_RVRI_80_32, NGTDM_busyness_32, IVH_RVRI_50_32, IVH_RVRI_60_32"
Mix,RF,Embebed RF FS Gini Impurity,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.5,2,0.69,0.37,0.3,0.41,"IVH_RVRI_70_0.5, IVH_RVRI_90_0.5"
Mix,RF,Embebed RF FS Gini Impurity,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.2,6,0.7,0.37,0.38,0.38,"IVH_RVRI_60_0.2, IVH_RVRI_50_0.2, IVH_RVRI_90_0.2, GLCM_clusShade_0.2, IVH_RVRI_70_0.2, Shape_areaDensityBB_0.2"
Mix,RF,Embebed RF FS Gini Impurity,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.1,3,0.81,0.51,0.44,0.53,"IVH_RVRI_90_0.1, IVH_AVRI_90_0.1, IVH_RVRI_60_0.1"
Mix,RF,Embebed RF FS Gini Impurity,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.05,10,0.69,0.36,0.36,0.38,"GLCM_clusShade_0.05, IVH_RVRI_90_0.05, IVH_RVRI_60_0.05, IVH_RVRI_50_0.05, IVH_RVRI_80_0.05, IVH_AVRI_90_0.05, IVH_RVRI_70_0.05, IVH_RVRI_40_0.05, IVH_TLGRI_90_0.05, Stats_skewness_0.05"
Mix,RF,Embebed RF FS Gini Impurity,Tumor to Liver ratio Radiomics Features,Empty,FBN,64,5,0.64,0.31,0.29,0.32,"NGLDM_HGSDE_64, IVH_RVRI_90_64, IVH_RVRI_50_64, GLDZM_HIE_64, GLSZM_HISAE_64"
Mix,RF,Embebed RF FS Gini Impurity,Tumor to Liver ratio Radiomics Features,Empty,FBN,32,7,0.64,0.27,0.28,0.27,"NGLDM_HGSDE_32, GLSZM_HISAE_32, IVH_RVRI_50_32, IVH_RVRI_70_32, IVH_RVRI_60_32, GLDZM_HIE_32, IVH_RVRI_90_32"
Mix,SVM,Forward MRMR pearson,Original Radiomics Features,Empty,FBW,0.5,5,0.5,0.36,0.19,0.49,"IVH_RVRI_70_0.5, GLSZM_HILAE_0.5, IH_maxGradI_0.5, Shape_volumeDensityBB_0.5, GLDZM_DZNN_0.5"
Mix,SVM,Forward MRMR pearson,Original Radiomics Features,Empty,FBW,0.2,1,0.5,0.34,0.17,0.48,IVH_RVRI_60_0.2
Mix,SVM,Forward MRMR pearson,Original Radiomics Features,Empty,FBW,0.1,1,0.5,0.34,0.17,0.48,IVH_RVRI_60_0.1
Mix,SVM,Forward MRMR pearson,Original Radiomics Features,Empty,FBW,0.05,1,0.5,0.34,0.17,0.48,IVH_RVRI_60_0.05
Mix,SVM,Forward MRMR pearson,Original Radiomics Features,Empty,FBN,64,7,0.5,0.35,0.18,0.49,"IVH_RVRI_50_64, Shape_elongation_64, IH_maxGrad_64, IVH_AIRV_30_64, GLDZM_DZNN_64, GLCM_clusProm_64, IVH_RVRI_60_64"
Mix,SVM,Forward MRMR pearson,Original Radiomics Features,Empty,FBN,32,1,0.5,0.34,0.17,0.48,IVH_RVRI_60_32
Mix,SVM,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.5,4,0.5,0.36,0.19,0.49,"IVH_AVRI_90_0.5, IVH_AIRV_40_0.5, Shape_areaDensityBB_0.5, IVH_RVRI_50_0.5"
Mix,SVM,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.2,4,0.49,0.34,0.17,0.48,"GLSZM_HISAE_0.2, IH_skewness_0.2, Shape_areaDensityBB_0.2, IVH_RVRI_50_0.2"
Mix,SVM,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.1,8,0.5,0.36,0.18,0.5,"IVH_RVRI_40_0.1, GLDZM_DZNN_0.1, GLCM_infoCorr2_0.1, Shape_leastaxislength_0.1, IVH_AVRI_90_0.1, IVH_AIRV_40_0.1, Shape_areaDensityBB_0.1, IVH_RVRI_50_0.1"
Mix,SVM,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.05,10,0.49,0.35,0.18,0.49,"IVH_TLGRI_80_0.05, IVH_RVRI_40_0.05, GLCM_clusShade_0.05, Shape_surface_0.05, NGTDM_strength_0.05, IVH_AVRI_30_0.05, IH_minGradI_0.05, Shape_volumeDensityBE_0.05, GLCM_infoCorr2_0.05, IVH_RVRI_50_0.05"
Mix,SVM,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBN,64,10,0.51,0.36,0.2,0.49,"Stats_skewness_64, IH_minGradI_64, NGTDM_contrast_64, IH_p90_64, GLCM_clusShade_64, IH_maxGrad_64, IVH_AVRI_90_64, IVH_AIRV_40_64, Shape_areaDensityBB_64, IVH_RVRI_50_64"
Mix,SVM,Forward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBN,32,6,0.5,0.36,0.19,0.49,"IVH_AVRI_90_32, NGTDM_strength_32, LocInt_peakLocal_32, GLCM_sumSquares_32, Shape_volumeDensityBE_32, IVH_RVRI_50_32"
Mix,SVM,Backward MRMR pearson,Original Radiomics Features,Empty,FBW,0.5,10,0.5,0.35,0.18,0.49,"GLDZM_DZNN_0.5, GLDZM_DZV_0.5, GLDZM_LDE_0.5, GLDZM_SDE_0.5, IVH_RVRI_10_0.5, IVH_RVRI_50_0.5, IVH_RVRI_60_0.5, IVH_RVRI_70_0.5, IVH_RVRI_90_0.5, Shape_elongation_0.5"
Mix,SVM,Backward MRMR pearson,Original Radiomics Features,Empty,FBW,0.2,6,0.5,0.33,0.16,0.48,"IVH_RVRI_10_0.2, IVH_RVRI_50_0.2, IVH_RVRI_60_0.2, IVH_RVRI_70_0.2, Shape_elongation_0.2, Shape_volumeDensityBB_0.2"
Mix,SVM,Backward MRMR pearson,Original Radiomics Features,Empty,FBW,0.1,5,0.5,0.34,0.17,0.49,"IVH_RVRI_10_0.1, IVH_RVRI_50_0.1, IVH_RVRI_60_0.1, IVH_RVRI_70_0.1, Shape_elongation_0.1"
Mix,SVM,Backward MRMR pearson,Original Radiomics Features,Empty,FBW,0.05,8,0.5,0.32,0.15,0.48,"IVH_RVRI_40_0.05, IVH_RVRI_50_0.05, IVH_RVRI_60_0.05, IVH_RVRI_70_0.05, IVH_RVRI_80_0.05, IVH_RVRI_90_0.05, Shape_elongation_0.05, Shape_volumeDensityBB_0.05"
Mix,SVM,Backward MRMR pearson,Original Radiomics Features,Empty,FBN,64,9,0.5,0.34,0.18,0.48,"GLDZM_DZNN_64, IVH_RVRI_10_64, IVH_RVRI_50_64, IVH_RVRI_60_64, IVH_RVRI_70_64, Shape_elongation_64, Shape_volumeDensityBB_64, Stats_cov_64, Stats_qcod_64"
Mix,SVM,Backward MRMR pearson,Original Radiomics Features,Empty,FBN,32,10,0.5,0.34,0.17,0.49,"GLDZM_DZNN_32, GLDZM_SDE_32, IVH_RVRI_10_32, IVH_RVRI_50_32, IVH_RVRI_60_32, IVH_RVRI_70_32, Shape_elongation_32, Shape_volumeDensityBB_32, Stats_cov_32, Stats_qcod_32"
Mix,SVM,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.5,2,0.5,0.32,0.15,0.47,"IVH_RVRI_50_0.5, Shape_volumeDensityBB_0.5"
Mix,SVM,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.2,10,0.5,0.33,0.16,0.48,"Fractal_lacunarity_0.2, Fractal_sd_0.2, IH_skewness_0.2, IVH_RVRI_40_0.2, IVH_RVRI_50_0.2, IVH_RVRI_60_0.2, Shape_areaDensityBB_0.2, Shape_leastaxislength_0.2, Shape_volumeDensityBB_0.2, Stats_skewness_0.2"
Mix,SVM,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.1,9,0.5,0.34,0.19,0.48,"IH_skewness_0.1, IVH_AVRI_90_0.1, IVH_RVRI_40_0.1, IVH_RVRI_50_0.1, IVH_RVRI_60_0.1, Shape_areaDensityBB_0.1, Shape_leastaxislength_0.1, Shape_volumeDensityBB_0.1, Stats_skewness_0.1"
Mix,SVM,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.05,4,0.5,0.37,0.18,0.5,"IVH_RVRI_50_0.05, IVH_RVRI_60_0.05, NGTDM_strength_0.05, Shape_volumeDensityBE_0.05"
Mix,SVM,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBN,64,10,0.49,0.33,0.16,0.48,"GLCM_clusShade_64, IH_minGradI_64, IH_skewness_64, IVH_RVRI_40_64, IVH_RVRI_50_64, Shape_elongation_64, Shape_flatness_64, Shape_volumeDensityBB_64, Stats_medianD_64, Stats_skewness_64"
Mix,SVM,Backward MRMR pearson,Tumor to Liver ratio Radiomics Features,Empty,FBN,32,7,0.5,0.33,0.21,0.48,"IH_skewness_32, NGTDM_strength_32, Shape_areaDensityBB_32, Shape_minoraxislength_32, Shape_volumeDensityBB_32, Shape_volumeDensityBE_32, Stats_skewness_32"
Mix,SVM,Forward MRMR MI,Original Radiomics Features,Empty,FBW,0.5,2,0.49,0.29,0.12,0.46,"IH_energy_0.5, GLCM_clusProm_0.5"
Mix,SVM,Forward MRMR MI,Original Radiomics Features,Empty,FBW,0.2,2,0.49,0.29,0.12,0.46,"IH_energy_0.2, GLCM_clusProm_0.2"
Mix,SVM,Forward MRMR MI,Original Radiomics Features,Empty,FBW,0.1,2,0.49,0.29,0.12,0.46,"IH_energy_0.1, GLCM_clusProm_0.1"
Mix,SVM,Forward MRMR MI,Original Radiomics Features,Empty,FBW,0.05,2,0.49,0.29,0.12,0.46,"IH_energy_0.05, GLCM_clusProm_0.05"
Mix,SVM,Forward MRMR MI,Original Radiomics Features,Empty,FBN,64,9,0.49,0.33,0.15,0.48,"IH_energy_64, IVH_RVRI_10_64, IVH_RVRI_20_64, Stats_var_64, NGTDM_contrast_64, NGTDM_busyness_64, GLSZM_LILAE_64, IH_maxGrad_64, IVH_RVRI_80_64"
Mix,SVM,Forward MRMR MI,Original Radiomics Features,Empty,FBN,32,8,0.49,0.32,0.15,0.48,"IH_energy_32, GLSZM_LILAE_32, IVH_RVRI_10_32, IVH_RVRI_20_32, Stats_var_32, GLSZM_LAE_32, GLSZM_SZV_32, IVH_RVRI_80_32"
Mix,SVM,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.5,10,0.52,0.38,0.25,0.5,"IVH_RVRI_50_0.5, GLSZM_HISAE_0.5, IVH_RVRI_90_0.5, GLSZM_LILAE_0.5, IVH_RVRI_10_0.5, GLCM_clusProm_0.5, Stats_skewness_0.5, Shape_areaDensityBB_0.5, GLSZM_LISAE_0.5, IVH_AVRI_90_0.5"
Mix,SVM,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.2,9,0.51,0.38,0.24,0.5,"IVH_RVRI_50_0.2, GLSZM_HISAE_0.2, IVH_RVRI_90_0.2, GLSZM_LILAE_0.2, GLCM_clusShade_0.2, IVH_RVRI_10_0.2, Stats_skewness_0.2, IVH_AVRI_80_0.2, Shape_areaDensityBB_0.2"
Mix,SVM,Forward MRMR MI,Tumor to Liver ratio Radiomics Features,Empty,FBW,0.1,9,0.52,0.39,0.28,0.5,"IVH_RVRI_50_0.1, GLRLM_LRLGE_0.1, IVH_RVRI_90_0.1, GLCM_clusProm_0.1, IVH_RVRI_10_0.1, Stats_skewness_0.1, IVH_AVRI_80_0.1, IH_skewness_0.1, GLSZM_SZV_0.1"
